"filename", "language", "SQL", "Java Properties", "HTML", "Java", "JavaScript", "CSS", "comment", "blank", "total"
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\controller\ItemsController.java", "Java", 0, 0, 0, 330, 0, 0, 50, 150, 530
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\controller\LessonsController.java", "Java", 0, 0, 0, 261, 0, 0, 38, 107, 406
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\controller\RootController.java", "Java", 0, 0, 0, 578, 0, 0, 30, 176, 784
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\controller\UserController.java", "Java", 0, 0, 0, 244, 0, 0, 61, 67, 372
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\AttendedLesson.java", "Java", 0, 0, 0, 9, 0, 0, 0, 4, 13
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Category.java", "Java", 0, 0, 0, 34, 0, 0, 0, 8, 42
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\ChatMessage.java", "Java", 0, 0, 0, 55, 0, 0, 0, 11, 66
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Course.java", "Java", 0, 0, 0, 49, 0, 0, 1, 10, 60
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\DB\DBHandler.java", "Java", 0, 0, 0, 183, 0, 0, 18, 53, 254
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\DB\DBItemsHandler.java", "Java", 0, 0, 0, 128, 0, 0, 42, 61, 231
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\DB\DBLessonsHandler.java", "Java", 0, 0, 0, 179, 0, 0, 30, 87, 296
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\GymSub.java", "Java", 0, 0, 0, 36, 0, 0, 8, 10, 54
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Item.java", "Java", 0, 0, 0, 76, 0, 0, 4, 21, 101
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\ItemLoans.java", "Java", 0, 0, 0, 91, 0, 0, 8, 31, 130
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\ItemLoansId.java", "Java", 0, 0, 0, 13, 0, 0, 0, 6, 19
"d:\OneDrive - Universidad Complutense de Madrid (UCM)\Uni\Cuarto\2oCuatri\TFG2\TFG\src\main\java\es\ucm\fdi\arties\model\Lesson.java", "Java", 0, 0, 0, 102, 0, 0, 0, 33, 135
